date,home_team,away_team,home_form,away_form,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_goals_scored_avg_5,away_goals_scored_avg_5,home_draw_rate,away_draw_rate,home_rank_points,away_rank_points,rank_diff,home_elo,away_elo,elo_diff,home_squad_value_log,away_squad_value_log,squad_value_log_diff,home_attack_vs_away_def,away_attack_vs_home_def,h2h_home_winrate,h2h_avg_goals,is_neutral,outcome,home_goals,away_goals
1994-07-16,Sweden,Bulgaria,0.5444444444444445,0.5777777777777777,1.8333333333333333,1.3333333333333333,1.6666666666666667,1.1666666666666667,1.8,2.0,0.5,0.16666666666666666,55.0,44.0,11.0,1829.1077041845374,1781.5079168854477,47.59978729908971,7.163378311937407,6.0,1.1633783119374073,1.5714285714285712,1.2500000000000002,0.5,2.5,1,0,4.0,0.0
1994-07-17,Brazil,Italy,0.9222222222222223,0.8111111111111111,1.8333333333333333,0.5,1.3333333333333333,0.8333333333333334,1.8,1.6,0.16666666666666666,0.16666666666666666,59.0,57.0,2.0,1906.5517617787448,1888.401879326898,18.14988245184668,7.492694762653628,6.0,1.4926947626536284,2.1999999999999997,2.6666666666666665,0.5,2.5,1,1,0.0,0.0
1994-09-04,Israel,Poland,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,32.0,41.0,-9.0,1523.1381552684845,1609.7464946878472,-86.60833941936266,6.0,6.0,0.0,1.0,1.0,0.5,2.5,0,0,2.0,1.0
1994-09-04,Estonia,Croatia,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,11.0,16.0,-5.0,1205.4875485660807,1598.9516151422026,-393.4640665761219,6.0,6.557379479184614,-0.5573794791846138,1.0,1.0,0.5,2.5,0,2,0.0,2.0
1994-09-06,Czech Republic,Malta,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,35.0,23.0,12.0,1529.9026272049819,1355.3137502094783,174.5888769955036,6.646967699839565,6.0,0.646967699839565,1.0,1.0,0.5,2.5,0,0,6.0,1.0
1994-09-07,Georgia,Moldova,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,8.0,3.0,5.0,1494.5222212221636,1511.0729217562957,-16.550700534132147,6.0,6.0,0.0,1.0,1.0,0.5,2.5,0,2,0.0,1.0
1994-09-07,Hungary,Turkey,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,31.0,31.0,0.0,1512.885674868797,1522.4991517146107,-9.613476845813693,6.0,6.968353697107506,-0.9683536971075064,1.0,1.0,0.5,2.5,0,1,2.0,2.0
1994-09-07,Finland,Scotland,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,34.0,40.0,-6.0,1497.2155422971025,1657.3572794956074,-160.14173719850487,6.0,6.651655101903765,-0.6516551019037653,1.0,1.0,0.5,2.5,0,2,0.0,2.0
1994-09-07,Belgium,Armenia,0.38888888888888884,0.5,1.0,1.0,1.2,1.2,1.0,1.2,0.0,0.25,50.0,1.0,49.0,1735.8698086216625,1483.9783339732237,251.89147464843882,7.198127245797145,6.0,1.1981272457971448,0.8333333333333334,1.2,0.5,2.5,0,0,2.0,0.0
1994-09-07,Cyprus,Spain,0.5,0.5833333333333334,1.2,1.2,2.0,1.2,1.2,2.0,0.25,0.4,22.0,60.0,-38.0,1333.0741955656001,1837.0433971518107,-503.9692015862106,6.0,7.591185656783271,-1.5911856567832707,1.0,1.6666666666666667,0.5,2.5,0,2,1.0,2.0
